timestamp,symbol,timeframe,open,high,low,close,volume,vwap,trade_count,source,adjusted,adjustment_type,is_complete,received_at
2026-05-19T13:30:00+00:00,SPY,1m,734.79,735.285,734.45,734.77,14698.0,734.913575,360,alpaca,true,all,true,
2026-05-19T13:31:00+00:00,SPY,1m,734.69,734.79,734.345,734.35,10400.0,734.600516,168,alpaca,true,all,true,
2026-05-19T13:32:00+00:00,SPY,1m,734.35,734.68,734.2,734.3,4593.0,734.381913,87,alpaca,true,all,true,
2026-05-19T13:33:00+00:00,SPY,1m,734.37,734.895,734.37,734.8,3506.0,734.70406,77,alpaca,true,all,true,
2026-05-19T13:34:00+00:00,SPY,1m,734.87,734.895,734.56,734.57,2352.0,734.686211,58,alpaca,true,all,true,
2026-05-19T13:35:00+00:00,SPY,1m,734.5,734.505,733.84,734.43,9037.0,734.037384,110,alpaca,true,all,true,
2026-05-19T13:36:00+00:00,SPY,1m,734.53,735.23,734.47,735.23,5792.0,734.743339,84,alpaca,true,all,true,
2026-05-19T13:37:00+00:00,SPY,1m,735.3,735.59,735.2,735.39,3267.0,735.353875,80,alpaca,true,all,true,
2026-05-19T13:38:00+00:00,SPY,1m,735.305,735.52,735.205,735.47,2982.0,735.355604,67,alpaca,true,all,true,
2026-05-19T13:39:00+00:00,SPY,1m,735.46,735.66,735.39,735.39,4010.0,735.538631,68,alpaca,true,all,true,
2026-05-19T13:40:00+00:00,SPY,1m,735.43,735.45,734.66,734.72,5665.0,735.02255,116,alpaca,true,all,true,
2026-05-19T13:41:00+00:00,SPY,1m,734.7,734.7,734.05,734.28,4435.0,734.282321,96,alpaca,true,all,true,
2026-05-19T13:42:00+00:00,SPY,1m,734.18,734.29,733.87,733.95,5468.0,734.12029,105,alpaca,true,all,true,
2026-05-19T13:43:00+00:00,SPY,1m,733.875,734.18,733.735,733.885,2222.0,733.917369,57,alpaca,true,all,true,
2026-05-19T13:44:00+00:00,SPY,1m,733.96,733.96,733.48,733.58,1994.0,733.719942,47,alpaca,true,all,true,
2026-05-19T13:45:00+00:00,SPY,1m,733.535,734.0,733.5,733.83,2914.0,733.713367,61,alpaca,true,all,true,
2026-05-19T13:46:00+00:00,SPY,1m,733.55,733.78,733.11,733.11,5350.0,733.491639,110,alpaca,true,all,true,
2026-05-19T13:47:00+00:00,SPY,1m,733.2,734.62,733.09,734.52,8344.0,733.655513,140,alpaca,true,all,true,
2026-05-19T13:48:00+00:00,SPY,1m,734.48,734.71,734.25,734.59,5975.0,734.493845,100,alpaca,true,all,true,
